id_videogame,id_plataforma,id_genero,id_publicador,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,
1,1,11,369,41.49,29.02,3.77,8.46,82.74,"INSERT INTO VENTA VALUES(1 , 1 , 11 , 369 , 41.49 , 29.02 , 3.77 , 8.46);"
2,2,5,369,29.08,3.58,6.81,0.77,40.24,"INSERT INTO VENTA VALUES(2 , 2 , 5 , 369 , 29.08 , 3.58 , 6.81 , 0.77);"
3,1,7,369,15.85,12.88,3.79,3.31,35.82,"INSERT INTO VENTA VALUES(3 , 1 , 7 , 369 , 15.85 , 12.88 , 3.79 , 3.31);"
4,1,11,369,15.75,11.01,3.28,2.96,33,"INSERT INTO VENTA VALUES(4 , 1 , 11 , 369 , 15.75 , 11.01 , 3.28 , 2.96);"
5,3,8,369,11.27,8.89,10.22,1,31.37,"INSERT INTO VENTA VALUES(5 , 3 , 8 , 369 , 11.27 , 8.89 , 10.22 , 1);"
6,3,6,369,23.2,2.26,4.22,0.58,30.26,"INSERT INTO VENTA VALUES(6 , 3 , 6 , 369 , 23.2 , 2.26 , 4.22 , 0.58);"
7,4,5,369,11.38,9.23,6.5,2.9,30.01,"INSERT INTO VENTA VALUES(7 , 4 , 5 , 369 , 11.38 , 9.23 , 6.5 , 2.9);"
8,1,4,369,14.03,9.2,2.93,2.85,29.02,"INSERT INTO VENTA VALUES(8 , 1 , 4 , 369 , 14.03 , 9.2 , 2.93 , 2.85);"
9,1,5,369,14.59,7.06,4.7,2.26,28.62,"INSERT INTO VENTA VALUES(9 , 1 , 5 , 369 , 14.59 , 7.06 , 4.7 , 2.26);"
10,2,9,369,26.93,0.63,0.28,0.47,28.31,"INSERT INTO VENTA VALUES(10 , 2 , 9 , 369 , 26.93 , 0.63 , 0.28 , 0.47);"
11,4,10,369,9.07,11,1.93,2.75,24.76,"INSERT INTO VENTA VALUES(11 , 4 , 10 , 369 , 9.07 , 11 , 1.93 , 2.75);"
12,4,7,369,9.81,7.57,4.13,1.92,23.42,"INSERT INTO VENTA VALUES(12 , 4 , 7 , 369 , 9.81 , 7.57 , 4.13 , 1.92);"
13,3,8,369,9,6.18,7.2,0.71,23.1,"INSERT INTO VENTA VALUES(13 , 3 , 8 , 369 , 9 , 6.18 , 7.2 , 0.71);"
14,1,11,369,8.94,8.03,3.6,2.15,22.72,"INSERT INTO VENTA VALUES(14 , 1 , 11 , 369 , 8.94 , 8.03 , 3.6 , 2.15);"
15,1,11,369,9.09,8.59,2.53,1.79,22,"INSERT INTO VENTA VALUES(15 , 1 , 11 , 369 , 9.09 , 8.59 , 2.53 , 1.79);"
16,5,4,328,14.97,4.94,0.24,1.67,21.82,"INSERT INTO VENTA VALUES(16 , 5 , 4 , 328 , 14.97 , 4.94 , 0.24 , 1.67);"
17,6,1,499,7.01,9.27,0.97,4.14,21.4,"INSERT INTO VENTA VALUES(17 , 6 , 1 , 499 , 7.01 , 9.27 , 0.97 , 4.14);"
18,7,1,499,9.43,0.4,0.41,10.57,20.81,"INSERT INTO VENTA VALUES(18 , 7 , 1 , 499 , 9.43 , 0.4 , 0.41 , 10.57);"
19,8,5,369,12.78,3.75,3.54,0.55,20.61,"INSERT INTO VENTA VALUES(19 , 8 , 5 , 369 , 12.78 , 3.75 , 3.54 , 0.55);"
20,4,4,369,4.75,9.26,4.16,2.05,20.22,"INSERT INTO VENTA VALUES(20 , 4 , 4 , 369 , 4.75 , 9.26 , 4.16 , 2.05);"
21,4,8,369,6.42,4.52,6.04,1.37,18.36,"INSERT INTO VENTA VALUES(21 , 4 , 8 , 369 , 6.42 , 4.52 , 6.04 , 1.37);"
22,3,5,369,10.83,2.71,4.18,0.42,18.14,"INSERT INTO VENTA VALUES(22 , 3 , 5 , 369 , 10.83 , 2.71 , 4.18 , 0.42);"
23,2,5,369,9.54,3.44,3.84,0.46,17.28,"INSERT INTO VENTA VALUES(23 , 2 , 5 , 369 , 9.54 , 3.44 , 3.84 , 0.46);"
17,5,1,499,9.63,5.31,0.06,1.38,16.38,"INSERT INTO VENTA VALUES(17 , 5 , 1 , 499 , 9.63 , 5.31 , 0.06 , 1.38);"
24,7,1,499,8.41,5.49,0.47,1.78,16.15,"INSERT INTO VENTA VALUES(24 , 7 , 1 , 499 , 8.41 , 5.49 , 0.47 , 1.78);"
25,9,8,369,6.06,3.9,5.38,0.5,15.85,"INSERT INTO VENTA VALUES(25 , 9 , 8 , 369 , 6.06 , 3.9 , 5.38 , 0.5);"
26,4,8,369,5.57,3.28,5.65,0.82,15.32,"INSERT INTO VENTA VALUES(26 , 4 , 8 , 369 , 5.57 , 3.28 , 5.65 , 0.82);"
27,4,6,369,3.44,5.36,5.32,1.18,15.3,"INSERT INTO VENTA VALUES(27 , 4 , 6 , 369 , 3.44 , 5.36 , 5.32 , 1.18);"
28,7,7,465,6.85,5.09,1.87,1.16,14.98,"INSERT INTO VENTA VALUES(28 , 7 , 7 , 465 , 6.85 , 5.09 , 1.87 , 1.16);"
29,5,9,17,9.03,4.28,0.13,1.32,14.76,"INSERT INTO VENTA VALUES(29 , 5 , 9 , 17 , 9.03 , 4.28 , 0.13 , 1.32);"
30,3,8,369,5.89,5.04,3.12,0.59,14.64,"INSERT INTO VENTA VALUES(30 , 3 , 8 , 369 , 5.89 , 5.04 , 3.12 , 0.59);"
31,5,9,17,9.67,3.73,0.11,1.13,14.64,"INSERT INTO VENTA VALUES(31 , 5 , 9 , 17 , 9.67 , 3.73 , 0.11 , 1.13);"
32,10,8,369,5.17,4.05,4.34,0.79,14.35,"INSERT INTO VENTA VALUES(32 , 10 , 8 , 369 , 5.17 , 4.05 , 4.34 , 0.79);"
33,11,9,17,5.77,5.81,0.35,2.31,14.24,"INSERT INTO VENTA VALUES(33 , 11 , 9 , 17 , 5.77 , 5.81 , 0.35 , 2.31);"
